isc,course_name,student_id
0.458772438556649,star,0
0.370198559038665,star,1
0.405210274642252,star,2
0.388898972136867,star,3
0.455509586784963,star,4
0.441339459263674,star,5
0.430961558278931,star,6
0.457079355225949,star,7
0.402645040634108,star,8
0.249408891163770,star,9
0.404018548802285,star,10
0.151303396048534,star,11
0.415064902837139,star,12
0.437243848696734,star,13
0.437961316207194,star,14
0.372966879484959,star,15
0.433728386377896,star,16
0.428385295007873,star,17
0.430941633039219,star,18
0.404907499818122,star,19
0.177501126843201,star,20
0.441017049472568,star,21
0.327475977717624,star,22
0.267024821599342,star,23
0.129170302864136,star,24
0.235537191758078,star,25
0.139716528451799,star,26
0.417163299992628,birth,0
0.434511325549858,birth,1
0.421848653818387,birth,2
0.388994839453617,birth,3
0.459602008833853,birth,4
0.443634326826667,birth,5
0.434303254396758,birth,6
0.445755832266250,birth,7
0.431389345491175,birth,8
0.313846990027145,birth,9
0.408925500276498,birth,10
0.416634488824929,birth,11
0.381206186017052,birth,12
0.450169860253725,birth,13
0.425749590957357,birth,14
0.360206663595978,birth,15
0.465128830131476,birth,16
0.421194126409902,birth,17
0.460263267265019,birth,18
0.437522787801284,birth,19
0.0915539693603835,birth,20
0.444894471860691,birth,21
0.353147261775918,birth,22
0.322122175164863,birth,23
0.128878561592156,birth,24
0.298069202310870,birth,25
0.0780213136143229,birth,26
